metric_timestamp,Halle,metric_name,_value
1625482098.1778402,Bieberbau,Bieberbau.alpha.Temperatur,39.68,
1625482098.1778402,Bieberbau,Bieberbau.alpha.Strom,10.724,
1625482098.1778402,Spechtnest,Spechtnest.beta.Temperatur,40.83,
1625482098.1778402,Spechtnest,Spechtnest.beta.Strom,10.187,
1625482098.1778402,Spechtnest,Spechtnest.gamma.Temperatur,40.56,
1625482098.1778402,Spechtnest,Spechtnest.gamma.Strom,8.514,
1625482098.1778402,Aussenbereich,Aussenbereich.Aussentemperatur,17.8,
1625482098.1778402,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,50.7,
1625482098.1778402,Aussenbereich,Aussenbereich.Luftdruck,1011.39,
1625482098.1778402,Aussenbereich,Aussenbereich.Wasserdruck,36.465,
1625482098.8655927,Bieberbau,Bieberbau.alpha.Temperatur,39.96,
1625482098.8655927,Bieberbau,Bieberbau.alpha.Strom,11.839,
1625482098.8655927,Spechtnest,Spechtnest.beta.Temperatur,40.14,
1625482098.8655927,Spechtnest,Spechtnest.beta.Strom,11.977,
1625482098.8655927,Spechtnest,Spechtnest.gamma.Temperatur,39.94,
1625482098.8655927,Spechtnest,Spechtnest.gamma.Strom,9.062,
1625482098.8655927,Aussenbereich,Aussenbereich.Aussentemperatur,17.3,
1625482098.8655927,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,50.6,
1625482098.8655927,Aussenbereich,Aussenbereich.Luftdruck,1011.11,
1625482098.8655927,Aussenbereich,Aussenbereich.Wasserdruck,38.445,
1625482099.192687,Bieberbau,Bieberbau.alpha.Temperatur,39.82,
1625482099.192687,Bieberbau,Bieberbau.alpha.Strom,9.656,
1625482099.192687,Spechtnest,Spechtnest.beta.Temperatur,40.26,
1625482099.192687,Spechtnest,Spechtnest.beta.Strom,11.718,
1625482099.192687,Spechtnest,Spechtnest.gamma.Temperatur,40.35,
1625482099.192687,Spechtnest,Spechtnest.gamma.Strom,9.981,
1625482099.192687,Aussenbereich,Aussenbereich.Aussentemperatur,17.2,
1625482099.192687,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,50.9,
1625482099.192687,Aussenbereich,Aussenbereich.Luftdruck,1012.05,
1625482099.192687,Aussenbereich,Aussenbereich.Wasserdruck,28.466,
1625482099.884259,Bieberbau,Bieberbau.alpha.Temperatur,42.03,
1625482099.884259,Bieberbau,Bieberbau.alpha.Strom,10.734,
1625482099.884259,Spechtnest,Spechtnest.beta.Temperatur,40.68,
1625482099.884259,Spechtnest,Spechtnest.beta.Strom,10.783,
1625482099.884259,Spechtnest,Spechtnest.gamma.Temperatur,42.38,
1625482099.884259,Spechtnest,Spechtnest.gamma.Strom,9.541,
1625482099.884259,Aussenbereich,Aussenbereich.Aussentemperatur,17.2,
1625482099.884259,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,50.3,
1625482099.884259,Aussenbereich,Aussenbereich.Luftdruck,1012.14,
1625482099.884259,Aussenbereich,Aussenbereich.Wasserdruck,20.101,
1625482100.1984408,Bieberbau,Bieberbau.alpha.Temperatur,43.17,
1625482100.1984408,Bieberbau,Bieberbau.alpha.Strom,8.417,
1625482100.1984408,Spechtnest,Spechtnest.beta.Temperatur,43.02,
1625482100.1984408,Spechtnest,Spechtnest.beta.Strom,10.495,
