Kunde,Produkt,Holz,AuftragsID,Maschine,Dauer,_time,Umsatz,Gewicht
IDEA,Schrank,Buche,8730726,Alpha,30.6,2021-10-27 19:07:05,261.51,51.257,
IDEA,Stuhl,Kiefer,1205667,Alpha,16.05,2021-10-27 19:07:29,105.87,6.184,
Immanuel Kantholz,Stuhl,Kiefer,36401-0olpja-9647,Alpha,16.05,2021-10-27 19:10:45,105.73,6.029,
IDEA,Regal,Kiefer,52908-0rnhqj-4241,Alpha,10.7,2021-10-27 19:10:46,53.11,3.2729999999999997,
IDEA,Schrank,Buche,52908-0rnhqj-4241,Beta,30.6,2021-10-27 19:10:47,260.8,50.67,
Herrmann Bretter,Bank,Buche,58990-0qlngz-3071,Gamma,12.24,2021-10-27 19:10:48,79.13,15.938,
Fuchsbau,Regal,Tanne,69994-693ugzyj-6125,Alpha,10.5,2021-10-28 10:57:50,52.26,2.5140000000000002,
IDEA,Regal,Kiefer,96806-771ftcds-4983,Alpha,10.7,2021-10-28 10:57:51,52.63,2.7720000000000002,
Ecke,Stuhl,Kiefer,89238-7uhtlk-4755,Beta,16.05,2021-10-28 10:57:52,105.79,6.095,
Immanuel Kantholz,Bank,Fichte,54776-18yodgl-8701,Gamma,13.8,2021-10-28 10:57:53,80.9,16.079,
IDEA,Schrank,Kiefer,2118720,Alpha,32.1,2021-11-01 09:36:19,248.63,51.192,
Porathholz,Tisch,Buche,14161-0fupay-3897,Alpha,20.4,2021-11-01 09:36:20,175.43,21.194,
Weser Baumschule,Hocker,Fichte,74303-441tpkbh-252,Beta,8.05,2021-11-01 09:36:21,42.64,2.034,
Schmidt Bretter,Tisch,Tanne,8060-19tyeal-4598,Gamma,21.0,2021-11-01 09:36:22,168.81,20.901,
Immanuel Kantholz,Stuhl,Fichte,45425-456lghjk-3777,Alpha,17.25,2022-01-05 14:12:51,108.04,6.187,
Schmidt Bretter,Tisch,Fichte,78597-119pxesh-8527,Alpha,23.0,2022-01-05 14:12:52,177.55,21.195,
Porathholz,Tisch,Kiefer,15226-77hmlgo-8500,Beta,21.4,2022-01-05 14:12:53,170.21,21.274,
Fuchsbau,Tisch,Tanne,61641-406goryf-9952,Gamma,21.0,2022-01-05 14:12:55,168.83,20.92,
Fuchsbau,Tisch,Tanne,61641-406goryf-9952,Alpha,21.0,2022-01-05 14:13:11,169.02,21.133,
Fuchsbau,Tisch,Fichte,61641-406goryf-9952,Beta,23.0,2022-01-05 14:13:18,177.32,21.012,
IDEA,Schrank,Kiefer,99535-29hnqlm-3326,Gamma,32.1,2022-01-05 14:13:19,248.6,51.157,
Porathholz,Tisch,Buche,32650-54rnywe-9422,Alpha,20.4,2022-01-05 14:13:34,175.11,20.926,
IDEA,Schrank,Buche,60803-24ysfev-7224,Beta,30.6,2022-01-05 14:13:40,261.13,50.941,
Weser Baumschule,Schrank,Fichte,48418-32kijdl-6324,Gamma,34.5,2022-01-05 14:13:44,266.01,50.777,
