Kunde,Adresse,IP,
IDEA,Orangenstrasse 30,177.139.21.101,
Fuchsbau,Himbeerstrasse 18,131.171.246.180,
Porathholz,Baumweg 3,199.45.101.29,
Schmidt Bretter,Zitronengasse 32,74.186.105.66,
Weser Baumschule,Erdbeer Rue 32,21.200.248.146,
Walter Baumhaus,Marmeladenplatz 642,149.89.165.116,
Hansen,Keksstrasse 22,202.141.88.3,
Herrmann Bretter,Hariboweg 98,82.169.159.143,
Ecke,An der Ecke 54,146.7.136.230,
Immanuel Kantholz,Fotogasse 766,114.14.97.6,
Blocksberg Besen,Hexenweg 666,164.165.155.125,
Blümchen,Sonnenblumnenallee 10,182.12.120.157,
